"","Polling firm/Commissioner","cita","Fieldwork date","Sample size","Turnout","PSOE","PP","Cs","UPsimbol.svg","Vox","ERC–Sobiranistes","JxCat","PNV","EHB.png","Compromís","CC–NCa","NA+","PRC","Más País.svg","CUP","Lead"
"78","ElectoPanel/Electomanía","<a href= https://electomania.es/ep19o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","16–17 Oct 2019","1,250","","27.5","21.9","9.7","12.8","10.4","","","","","","","","","4.3","","5.6"
"79","Ipsos/Henneo","<a href= https://www.lainformacion.com/espana/elecciones-generales-encuesta-psoe-sanchez-cataluna-pp-vox/6515679/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Ipsos/Henneo </a>","15–17 Oct 2019","2,000","","26.7","21.7","9.4","12.3","11.8","4.0","1.8","1.4","","","","","","4.6","","5.0"
"80","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/Empate-tecnico-Vox-Ciudadanos-elecciones_0_954005106.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","14–17 Oct 2019","1,100","65.3","27.0","22.3","11.1","13.4","9.1","4.2","1.5","1.6","1.0","","0.7","0.4","0.2","4.6","0.7","4.7"
"81","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/21/5dac8353fdddff3d998b45ff.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","10–17 Oct 2019","1,600","","27.0","21.0","9.6","12.5","11.5","4.2","1.5","1.7","","","","","","4.6","","6.0"
"82","KeyData/Público","<a href= https://www.publico.es/politica/elecciones-10-n-sondeos-descalabro-rivera-hundiria-cs-debajo-nivel-vox-votos-escanos.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","16 Oct 2019","","68.9","28.2","20.7","10.8","12.2","10.3","3.9","1.7","1.5","1.0","","0.5","","","4.9","","7.5"
"83","ElectoPanel/Electomanía","<a href= https://electomania.es/ep17o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","15–16 Oct 2019","1,250","","27.7","21.4","9.5","12.4","10.9","3.9","1.5","1.5","1.0","","0.6","0.4","0.3","4.8","1.2","6.3"
"84","ElectoPanel/Electomanía","<a href= https://electomania.es/ep17o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","14–15 Oct 2019","1,250","","27.4","21.6","9.3","12.5","10.8","","","","","","","","","4.7","","5.8"
"85","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/sanchez-casado-suben-escano-fallo-del-1-o-vox-da-sorpasso-cs-4699075 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","11–15 Oct 2019","1,000","","26.5","22.7","10.2","13.3","10.1","4.2","","","","","","","","4.0","","3.8"
"86","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/17/5da74f3021efa0860d8b466d.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","7–15 Oct 2019","1,600","","27.1","21.2","9.3","12.8","11.3","4.2","1.4","1.7","","","","","","4.2","","5.9"
"87","CIS","<a href= http://datos.cis.es/pdf/Es3263marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> CIS </a>","21 Sep–13 Oct 2019","17,650","","32.2","18.1","10.6","14.6","7.9","4.4","1.8","1.5","1.2","","0.3","0.4","0.2","2.9","0.6","14.1"
"88","Llorente & Cuenca","<a href= https://www.blogdeasuntospublicos.com/monitor-de-estabilidad-electoral-de-llyc/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Llorente & Cuenca </a>","9–12 Oct 2019","","68","25.8","21.0","10.8","10.9","8.5","","","","","","","","","3.8","","4.8"
"89","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/20191013/vox-tercera-escanos-ciudadanos-desploma-psoe-pp/436457037_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","9–12 Oct 2019","1,000","","27.4","20.9","9.3","12.3","10.5","3.2","1.7","1.4","1.1","","0.3","0.2","0.2","5.1","1.5","6.5"
"90","ElectoPanel/Electomanía","<a href= https://electomania.es/ep13o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","9–12 Oct 2019","1,250","","27.5","22.0","9.0","12.0","10.5","4.0","1.6","1.5","1.0","","0.6","0.4","0.3","4.8","0.8","5.5"
"91","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/intencion-PSOE-Partido-Popular-elecciones_0_952954806.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","7–11 Oct 2019","1,100","","27.3","22.2","11.4","13.7","8.4","4.2","1.5","1.6","1.0","","0.7","0.4","0.2","4.9","0.7","5.1"
"92","GAD3/ABC","<a href= https://www.gad3.com/single-post/2019/10/28/Encuesta-GAD3-para-ABC---Elecciones-generales-10N target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","7–11 Oct 2019","3,121","68","28.4","22.2","8.6","11.9","11.8","3.2","1.8","1.4","0.9","","0.3","0.5","0.2","3.9","1.0","6.2"
"93","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/pp-acorta-aun-mas-distancias-psoe-ya-esta-12-escanos-mientras-vox-pisa-talones-cs-4683773 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","7–10 Oct 2019","1,000","65.9","26.4","22.5","10.6","13.4","9.8","4.2","1.6","1.5","1.0","","0.6","0.5","0.2","4.1","0.7","3.9"
"94","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/14/5da36de2fdddff92898b464f.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","2–10 Oct 2019","1,600","","27.5","20.6","9.8","13.2","10.7","4.0","1.5","1.6","","","","","","4.4","","6.9"
"95","ElectoPanel/Electomanía","<a href= https://electomania.es/ep9oct/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","6–8 Oct 2019","2,000","","27.9","22.5","8.9","12.1","9.8","3.9","1.6","1.5","1.0","","0.6","0.4","0.3","4.5","0.9","5.4"
"96","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/10/5d9e457cfc6c8332698b461b.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","30 Sep–8 Oct 2019","1,600","","27.9","21.3","10.0","12.6","10.2","3.6","1.7","1.6","","","","","","4.3","","6.6"
"97","ElectoPanel/Electomanía","<a href= https://electomania.es/ep9oct/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","2–5 Oct 2019","","","26.4","22.4","10.1","12.1","8.7","","","","","","","","","6.0","","4.0"
"98","KeyData/Público","<a href= https://www.publico.es/politica/encuestas-electorales-irrupcion-pais-frenaria-seco-auge-sanchez-le-quitaria-escanos-psoe.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","4 Oct 2019","","68.6","28.4","20.0","11.6","12.1","9.1","3.6","1.6","1.3","1.0","","0.4","","","5.9","","8.4"
"99","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/PSOE-escanos-respecto-resultados-abril_0_950155073.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","1–4 Oct 2019","1,100","65.7","27.2","21.8","12.2","13.9","7.5","4.2","1.6","1.6","1.0","","0.7","0.5","0.2","5.1","0.5","5.4"
"100","Simple Lógica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-octubre-2019/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Simple Lógica </a>","1–4 Oct 2019","1,046","66.3","29.1","19.1","10.0","12.5","12.2","","","","","","","","","5.2","","10.0"
"101","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/20191007/podemos-escanos-ciudadanos-vox-psoe-pp-mayoria/434706819_0.html target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","1–4 Oct 2019","1,000","","27.2","20.7","10.6","11.7","10.9","3.5","1.8","1.3","1.1","","0.4","0.3","0.2","5.5","1.2","6.5"
"102","GAD3/ABC","<a href= https://www.gad3.com/single-post/2019/10/28/Encuesta-GAD3-para-ABC---Elecciones-generales-10N target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","30 Sep–4 Oct 2019","3,121","67","27.2","20.9","11.0","12.4","10.6","3.8","1.6","1.5","0.9","","0.3","0.5","0.2","4.3","0.9","6.3"
"103","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/casado-98-escanos-acerca-victoria-frente-sanchez-que-baja-115-4657859 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","30 Sep–4 Oct 2019","900","65.9","26.1","22.1","11.7","13.5","8.5","4.3","1.7","1.6","1.0","","0.6","0.5","0.2","4.6","0.6","4.0"
"104","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-unidas-podemos-pierde-la-tercera-posicion-en-intencion-de-voto-en-favor-de-ciudadanos-tras-la-irrupcion-de-mas-pais-video_201910065d99dcf20cf2b33c9d0c030f.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","30 Sep–4 Oct 2019","","","29.9","20.5","11.7","11.2","7.7","","","","","","","","","4.6","","9.4"
"105","IMOP/El Confidencial","<a href= https://www.elconfidencial.com/elecciones-generales/2019-10-06/sondeo-imop-generales-10n-gana-psoe-cs-se-hunde_2270404/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> IMOP/El Confidencial </a>","1–3 Oct 2019","1,227","65.7","28.3","20.1","10.7","12.0","10.8","3.3","2.2","1.6","1.0","","","","","4.1","1.1","8.2"
"106","GESOP/El Periódico","<a href= https://www.elperiodico.com/es/politica/20191005/encuesta-elecciones-generales-2019-espana-7668120 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periódico </a>","30 Sep–3 Oct 2019","1,005","","28.0","19.6","10.4","12.2","10.3","3.2","1.8","","","","","","","5.5","1.5","8.4"
"107","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/07/5d99d9dafc6c8355188b45b0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","30 Sep–2 Oct 2019","1,000","","28.9","21.2","10.1","12.2","9.2","3.8","1.8","1.7","","","","","","4.6","","7.7"
"108","ElectoPanel/Electomanía","<a href= https://electomania.es/ep2oct/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","28 Sep–1 Oct 2019","1,200","","26.0","22.4","10.5","12.3","8.7","4.0","1.6","1.6","1.0","","0.6","0.4","0.3","6.2","0.7","3.6"
"109","GAD3/ABC","<a href= https://www.gad3.com/single-post/2019/10/28/Encuesta-GAD3-para-ABC---Elecciones-generales-10N target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","27–29 Sep 2019","","70","27.8","21.4","11.5","11.7","9.5","4.0","1.9","1.5","1.0","","0.3","0.5","0.2","5.1","","6.4"
"110","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-28s-la-derecha-supera-en-escanos-a-la-izquierda-tras-el-efecto-errejon-casado-roza-el-sorpasso-a-sanchez-sin-mayorias/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","22–27 Sep 2019","3,000","","25.2","21.7","11.3","11.6","8.7","4.2","1.8","1.5","0.9","","0.7","0.4","0.2","7.7","","3.5"
"111","Sondaxe/La Voz de Galicia","<a href= https://www.lavozdegalicia.es/noticia/espana/2019/09/29/efecto-errejon-dinamita-congreso/0003_201909G29P2991.htm target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sondaxe/La Voz de Galicia </a>","23–26 Sep 2019","1,001","","26.1","19.1","10.3","12.1","10.1","","","1.3","","","","","","6.4","","7.0"
"112","GAD3/ABC","<a href= http://hemeroteca.abc.es/nav/Navigate.exe/hemeroteca/madrid/abc/2019/09/26/020.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","23–25 Sep 2019","1,207","","27.2","21.4","11.3","12.4","9.6","3.9","2.0","1.6","1.0","","0.4","0.5","0.2","5.2","","5.8"
"113","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/convocatoria-elecciones-Partido-Popular-frontera_0_945955489.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","19–23 Sep 2019","1,100","65.6","29.4","22.1","13.4","14.1","7.0","4.2","1.7","1.6","1.1","0.7","0.6","0.5","0.2","","","7.3"
"114","NC Report/La Razón","<a href= https://www.larazon.es/espana/abstencion-historica-ante-el-10-n-el-35-no-votaria-NF25024458 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","18–21 Sep 2019","1,000","65.0","28.6","22.0","13.7","13.6","7.5","","","","","","","","","","","6.6"
"115","Ipsos/Henneo","<a href= https://www.lainformacion.com/espana/el-bloqueo-politico-sin-una-opcion-clara-de-gobierno-se-mantendra-tras-el-10-n/6513151/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Ipsos/Henneo </a>","18–20 Sep 2019","1,837","69.5","28.0","19.8","14.2","15.2","9.8","3.7","1.7","1.5","","","","","","","","8.2"
"116","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/politica/20190922/psoe-ganaria-escanos-pp-subiria-cs-perderia/430957177_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","18–20 Sep 2019","1,000","","28.6","19.4","11.9","14.5","10.0","4.2","1.8","1.6","1.2","0.8","0.6","0.3","0.3","","","9.2"
"117","40dB/El País","<a href= https://elpais.com/politica/2019/09/21/actualidad/1569086221_511787.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> 40dB/El País </a>","18–20 Sep 2019","1,544","62.8","30.3","23.5","13.3","14.0","8.6","","","","","","","","","","","6.8"
"118","GAD3/La Vanguardia","<a href= http://hemeroteca.lavanguardia.com/preview/2019/09/22/pagina-14/262266560/pdf.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/La Vanguardia </a>","16–20 Sep 2019","1,006","69.0","31.6","20.3","13.1","13.4","9.6","3.4","1.7","1.3","1.0","","","","","","","11.3"
"119","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-proximas-elecciones-con-un-tercio-de-los-votos_201909215d861be50cf2480e3d22d7de.html target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","16–20 Sep 2019","","","33.4","20.2","12.1","12.5","6.8","","","","","","","","","","","13.2"
"120","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-19s-la-suma-de-ppcsvox-superaria-a-la-de-psoeup-solo-una-coalicion-pp-psoe-sumaria-absoluta/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","17–18 Sep 2019","1,000","64.7","27.7","21.0","13.0","13.8","9.6","4.4","1.8","1.6","1.0","0.8","0.5","0.4","0.2","","","6.7"
"122","CIS ","<a href= https://www.20minutos.es/opiniones/andres-medina-3780055/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> CIS  </a>","1–18 Sep 2019","5,906","68.0","29.3","16.8","13.2","16.0","10.4","","","","","","","0.5","","","","12.5"
"123","CIS","<a href= http://datos.cis.es/pdf/Es3261marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> CIS </a>","1–18 Sep 2019","5,906","","34.2","17.1","12.9","15.5","7.5","3.7","2.0","1.6","1.2","0.6","0.2","0.1","0.1","","","17.1"
"124","ElectoPanel/Electomanía","<a href= https://electomania.es/ep15s19/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","10–15 Sep 2019","1,200","64.7","28.4","20.8","12.7","13.5","9.7","4.5","2.1","1.7","1.0","0.9","0.5","0.4","0.3","","","7.6"
"125","Demoscopia Servicios/ESdiario","<a href= https://www.esdiario.com/205050023/Sondeo-de-ESdiario-Sanchez-se-afianza-y-el-giro-de-Cs-hunde-el-plan-de-Iglesias.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Demoscopia Servicios/ESdiario </a>","12–14 Sep 2019","","71.3","31.8","20.6","14.0","12.7","7.0","","","","","","","","","","","11.2"
"126","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-proximas-elecciones-con-un-tercio-de-los-votos_201909215d861be50cf2480e3d22d7de.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","9–13 Sep 2019","","","33.9","20.0","11.7","12.3","7.0","","","","","","","","","","","13.9"
"127","DYM/El Independiente","<a href= https://www.elindependiente.com/politica/2019/09/15/las-elecciones-mantendran-el-mapa-politico-actual-y-solo-perjudicaran-a-ciudadanos/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> DYM/El Independiente </a>","9–12 Sep 2019","1,001","","29.8","18.4","13.3","14.6","10.2","","","","","","","","","","","11.4"
"128","KeyData/Público","<a href= https://www.publico.es/politica/sondeos-psoe-y-up-sumarian-27-escanos-mas-tres-derechas-elecciones.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","6 Sep 2019","","72.1","31.2","19.3","13.6","13.7","8.4","3.9","1.5","1.5","1.0","","0.5","","","","","11.9"
"129","Simple Lógica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-septiembre-2019/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Simple Lógica </a>","2–6 Sep 2019","1,089","68.3","30.6","18.4","13.6","13.8","12.1","","","","","","","","","","","12.2"
"130","GAD3/ABC","<a href= http://hemeroteca.abc.es/nav/Navigate.exe/hemeroteca/madrid/abc/2019/09/09/016.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","2–6 Sep 2019","1,000","70","32.1","19.9","14.0","13.3","7.9","3.8","1.9","1.4","1.0","","","0.4","","","","12.2"
"131","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-unas-nuevas-elecciones-con-el-34-de-los-votos-casi-seis-puntos-mas-que-el-28a_201909085d74f7040cf2f37b2f036266.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","2–6 Sep 2019","","","34.4","20.1","11.5","12.2","6.7","","","","","","","","","","","14.3"
"132","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/elecciones-enviarian-abstencion-millones-equilibrio_0_940356042.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","2–5 Sep 2019","1,100","65.9","30.5","20.1","14.1","13.7","8.0","4.3","1.7","1.6","1.0","0.5","0.6","0.6","0.2","","","10.4"
"133","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/politica/20190901/psoe-podemos-absoluta-cs-perderia-elecciones-noviembre/425957438_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","27–30 Aug 2019","1,100","","31.3","18.1","12.2","13.9","9.7","4.1","1.8","1.6","1.1","0.8","0.4","0.4","0.2","","","13.2"
"134","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/09/02/5d6c0dc5fc6c837f4a8b456e.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","27–29 Aug 2019","1,000","","33.4","19.0","11.8","14.2","8.3","4.3","1.1","1.5","","","","","","","","14.4"
"135","NC Report/La Razón","<a href= https://www.larazon.es/espana/espana-se-abona-al-desgobierno-ningun-bloque-sumaria-mayoria-de-repetirse-elecciones-FG24777992 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","20–24 Aug 2019","1,000","66.6","29.5","21.9","13.9","13.1","7.7","3.6","1.8","1.5","1.1","0.5","0.6","0.5","0.2","","","7.6"
"136","ElectoPanel/Electomanía","<a href= https://electomania.es/ep16a19/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","1–15 Aug 2019","2,500","64.1","29.3","21.0","12.5","13.2","9.0","4.5","2.0","1.6","1.1","0.9","0.6","0.4","0.3","","","8.3"
"137","NC Report/La Razón","<a href= https://www.larazon.es/espana/elecciones-el-bloqueo-se-agudiza-JG24551392 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","11 Aug 2019","","67.6","29.7","21.8","14.1","12.9","7.8","3.5","2.0","1.5","1.2","0.4","0.7","0.6","0.2","","","7.9"
"138","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/Encuesta_0_929857073.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","1–7 Aug 2019","1,100","67.0","30.9","20.2","14.3","13.4","8.3","3.7","1.8","1.5","0.9","0.4","0.6","0.5","0.2","","","10.7"
"139","KeyData/Público","<a href= https://www.publico.es/politica/encuestas-electorales-psoe-unidas-quedarian-escanos-mayoria-absoluta-nuevas-elecciones-sondeos.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","5 Aug 2019","","72.7","31.5","18.7","14.4","13.4","7.6","","","","","","","","","","","12.8"
"140","Simple Lógica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-agosto-2019/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Simple Lógica </a>","1–5 Aug 2019","1,074","68.0","31.4","17.2","14.9","13.8","11.0","","","","","","","","","","","14.2"
"141","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-psoe-ganaria-elecciones-361-mismos-votos-que-sumarian-juntos-vox_201908025d4417370cf2a80ac9c3efcc.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","29 Jul–1 Aug 2019","","","36.1","17.0","12.6","12.3","6.5","","","","","","","","","","","19.1"
"142","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/20191007/podemos-escanos-ciudadanos-vox-psoe-pp-mayoria/434706819_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","25–26 Jul 2019","1,000","","29.3","18.2","16.2","14.3","8.7","","","","","","","","","","","11.1"
"143","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-26j-tras-la-investidura-fallida-dispara-la-abstencion-que-hace-crecer-a-la-derecha-el-psoe-pierde-3-puntos-en-una-semana/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","24–26 Jul 2019","1,200","64.2","29.2","20.8","12.3","13.2","9.5","","","","","","","","","","","8.4"
"144","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-23j-psoeup-sumarian-absoluta-el-pp-pierde-algunos-apoyos/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","23 Jul 2019","","","32.2","19.8","11.6","13.9","8.8","","","","","","","","","","","12.4"
"145","ElectoPanel/Electomanía","<a href= https://electomania.es/https-electomania-es-ep21jh1/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","21 Jul 2019","","","31.9","20.3","11.7","13.8","9.1","","","","","","","","","","","11.6"
"146","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-367-volveria-ganar-unas-elecciones-marcadas-por-la-caida-de-ciudadanos-129-y-vox-73_201907215d3460f40cf2c80663db2b67.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","15–19 Jul 2019","","","36.7","16.1","12.9","12.5","7.3","","","","","","","","","","","20.6"
"147","Metroscopia/Henneo","<a href= https://www.lavanguardia.com/politica/20190725/463688854660/la-culpa.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Metroscopia/Henneo </a>","11–12 Jul 2019","1,251","","31.0","19.0","13.0","13.0","8.0","","","","","","","","","","","12.0"
"148","CIS","165(El Mundo)","1–11 Jul 2019","2,952","","32.6","15.7","15.3","15.0","8.1","","","","","","","","","","","16.9"
"149","Simple Lógica","167","1–9 Jul 2019","1,037","70.2","32.7","17.9","13.1","15.2","9.3","","","","","","","","","","","14.8"
"150","KeyData/Público","168","7 Jul 2019","","72.1","31.2","17.4","16.6","13.1","7.6","3.9","1.5","1.3","1.1","","0.4","","","","","13.8"
"151","Invymark/laSexta","169","3–6 Jul 2019","1,200","","36.6","15.5","13.2","12.9","7.6","","","","","","","","","","","21.1"
"152","Demoscopia Servicios/ESdiario","170","2–5 Jul 2019","","72.4","31.3","21.5","16.2","11.2","7.7","","","","","","","","","","","9.8"
"153","Celeste-Tel/eldiario.es","171","1–5 Jul 2019","1,100","67.6","31.2","19.9","14.4","13.2","8.4","3.8","1.8","1.5","0.9","0.4","0.6","0.5","0.2","","","11.3"
"154","ElectoPanel/Electomanía","173","22–25 Jun 2019","8,800","","32.1","20.2","12.5","12.2","9.0","","","","","","","","","","","11.9"
"155","Sigma Dos/El Mundo","174","21 Jun 2019","1,000","","32.6","19.4","13.1","13.2","8.0","4.2","1.7","1.5","","","","","","","","13.2"
"156","GAD3/ABC","175","17–21 Jun 2019","800","70","30.8","20.6","16.2","13.0","5.6","","","","","","","","","","","10.2"
"157","Invymark/laSexta","176","17–21 Jun 2019","","","35.9","15.1","14.0","12.9","8.1","","","","","","","","","","","20.8"
"158","NC Report/La Razón","177","7–13 Jun 2019","1,000","68.8","30.5","20.2","14.9","12.7","8.0","3.6","1.9","1.6","1.1","0.4","0.7","0.6","0.2","","","10.3"
